Full name,Unique Employee ID,Department,Position,Employee Type,Employee Type 2,Working hours,Hourly rate,Employment start date,Reporting to,Reporting to ID,Separation Reason,Gender,Ethnicity,Age,Termination Date ,Region,Report Date
Ashley Jenkins,700550,Marketing,"Surveyor, quantity",Full-time,Permanent,40,86.15311753,2013-03-23,Manager 41,34,Involuntary,Male,Group A,37,2016-09-25,East,2023-09-01
Karen Carlson,400485,HR,Public librarian,Part-time,Permanent,24,46.79385058,2013-03-24,Manager 44,21,Voluntary,Male,Group B,26,2019-02-16,Northwest,2023-09-01
Dillon Foster,873218,Sales,Oceanographer,Part-time,Permanent,24,57.2601435,2013-03-24,Manager 41,34,Involuntary,Male,Group B,24,2022-04-15,North,2023-09-01
David Chapman,172205,IT,Farm manager,Contractor,Temporary,40,68.39361237,2013-03-25,Manager 12,24,,Male,Group E,21,,East,2023-09-01
Alicia Larsen,590287,Tech,Secondary school teacher,Contractor,Permanent,32,60.62048278,2013-03-25,Manager 41,34,Involuntary,Female,Group c,26,2014-02-15,East,2023-09-01
Sheila Moore,704607,Marketing,Chiropodist,Full-time,Permanent,40,76.23041648,2013-03-26,Manager 46,11,Voluntary,Female,Group A,56,2014-11-28,East,2023-09-01
Paula Burton,291786,Tech,Contractor,Full-time,Temporary,40,73.37968036,2013-03-28,Manager 2,40,Voluntary,Male,Group E,30,2021-12-30,East,2023-09-01
Robin Curry,732008,Logistics,Fine artist,Part-time,Temporary,24,87.53316145,2013-03-30,Manager 39,35,Involuntary,Female,Group A,26,2022-02-17,North,2023-09-01
Jeffrey Henderson,206134,Production,Insurance claims handler,Full-time,Temporary,40,27.43416899,2013-03-31,Manager 32,33,Voluntary,Male,Group c,66,2017-12-02,Northwest,2023-09-01
Juan Green,450078,HR,Youth worker,Contractor,Temporary,32,32.83955102,2013-04-01,Manager 27,1,Involuntary,Female,Group B,67,2021-02-23,Midwest,2023-09-01
Kimberly Jimenez,518069,Business Management,"Doctor, hospital",Part-time,Temporary,32,81.66799532,2013-04-01,Manager 50,28,Involuntary,Male,Group B,56,2018-07-13,North,2023-09-01
Wesley Payne,499339,Sales,Sub,Full-time,Permanent,40,73.51145853,2013-04-04,Manager 9,48,Voluntary,Female,Group B,38,2022-02-28,Midwest,2023-09-01
Rhonda Ramirez,977440,IT,Lexicographer,Part-time,Temporary,32,37.08486697,2013-04-04,Manager 30,20,Voluntary,Male,Group A,38,2014-11-01,North,2023-09-01
Lindsay Nguyen,169620,Business Management,"Nurse, learning disability",Contractor,Permanent,32,74.23200607,2013-04-10,Manager 35,29,,Female,Group c,22,,North,2023-09-01
Lisa Ward,236908,Business Management,Metallurgist,Part-time,Temporary,24,32.94793986,2013-04-10,Manager 13,37,Voluntary,Male,Group D,37,2022-04-05,Northwest,2023-09-01
Ricky Taylor,483636,Legal,Systems analyst,Part-time,Temporary,24,58.21329619,2013-04-10,Manager 24,22,Voluntary,Male,Group D,63,2020-10-04,North,2023-09-01
Shannon Willis,840342,Marketing,Primary school teacher,Part-time,Permanent,32,22.86693228,2013-04-11,Manager 21,45,Involuntary,Male,Group E,59,2022-10-23,East,2023-09-01
Mrs. Sara Benjamin,458734,Accounting,"Scientist, clinical (histocompatibility and immunogenetics)",Full-time,Temporary,40,81.53500589,2013-04-12,Manager 46,11,Involuntary,Male,Group D,44,2022-10-13,North,2023-09-01
John Wilson,737783,Production,Research scientist (life sciences),Contractor,Permanent,24,32.29717576,2013-04-12,Manager 17,4,Involuntary,Female,Group c,50,2016-11-26,Northwest,2023-09-01
Anthony Lee,779526,Marketing,Occupational therapist,Part-time,Permanent,32,70.81091803,2013-04-14,Manager 45,12,Involuntary,Female,Group E,43,2016-06-02,South,2023-09-01
Kerri Wilson,163276,Logistics,Teaching laboratory technician,Full-time,Temporary,40,50.64403586,2013-04-15,Manager 26,44,,Female,Group D,67,,Northwest,2023-09-01
Samuel Gibbs,563982,Accounting,"Scientist, physiological",Part-time,Permanent,32,77.15605591,2013-04-16,Manager 46,11,Involuntary,Female,Group B,29,2022-12-30,East,2023-09-01
Keith Thompson,948390,Production,Herbalist,Part-time,Temporary,24,81.13282024,2013-04-17,Manager 5,13,Voluntary,Male,Group E,66,2016-05-03,East,2023-09-01
Albert Bauer,814546,Marketing,"Surveyor, hydrographic",Contractor,Temporary,32,87.82854086,2013-04-18,Manager 30,20,Involuntary,Male,Group D,38,2019-01-17,North,2023-09-01
Michael Foster,801319,Legal,Careers adviser,Full-time,Permanent,40,36.29328885,2013-04-20,Manager 5,13,Involuntary,Male,Group E,27,2020-06-02,North,2023-09-01
Chelsea Young,712678,Production,Public house manager,Contractor,Permanent,24,42.99671017,2013-04-21,Manager 6,50,Involuntary,Female,Group B,22,2022-01-03,South,2023-09-01
David Chavez,918639,Legal,Water engineer,Full-time,Permanent,40,43.7977305,2013-04-22,Manager 41,34,Involuntary,Female,Group B,56,2017-10-20,South,2023-09-01
Sarah Blake,219284,HR,Adult nurse,Full-time,Permanent,40,53.28249305,2013-04-24,Manager 28,6,Involuntary,Male,Group D,42,2017-07-19,Midwest,2023-09-01
Dustin Allen,814768,Sales,Lexicographer,Contractor,Permanent,24,66.9225737,2013-04-24,Manager 38,38,Voluntary,Male,Group B,67,2019-11-17,Midwest,2023-09-01
Jermaine Hall,115744,Logistics,Secondary school teacher,Part-time,Permanent,24,52.79797819,2013-04-25,Manager 26,44,Involuntary,Female,Group D,51,2016-01-26,Midwest,2023-09-01
Kelli Gutierrez,612292,Legal,"Administrator, local government",Part-time,Permanent,24,54.34893424,2013-04-27,Manager 43,39,Involuntary,Male,Group A,41,2022-05-01,South,2023-09-01
Kristin Lindsey,650973,Sales,Museum/gallery exhibitions officer,Full-time,Temporary,40,87.87398878,2013-04-27,Manager 39,35,Voluntary,Female,Group c,35,2014-08-16,South,2023-09-01
Benjamin Leon,896918,Production,Air broker,Part-time,Permanent,24,57.29500595,2013-04-27,Manager 37,7,Involuntary,Male,Group c,64,2015-01-26,North,2023-09-01
Kimberly Richardson,238011,Sales,Control and instrumentation engineer,Full-time,Permanent,40,74.9733464,2013-04-28,Manager 20,23,Involuntary,Female,Group A,60,2022-02-14,East,2023-09-01
Kathryn Johnson,772362,Business Management,Cytogeneticist,Contractor,Permanent,40,43.20762435,2013-04-28,Manager 24,22,Involuntary,Male,Group c,45,2022-01-19,North,2023-09-01
Christine Robinson,803129,Logistics,Clinical psychologist,Full-time,Permanent,40,76.91163055,2013-04-28,Manager 32,33,Voluntary,Male,Group A,59,2017-10-04,East,2023-09-01
Bryan Kennedy,947689,Business Management,Data scientist,Part-time,Temporary,24,64.88061052,2013-04-28,Manager 2,40,Voluntary,Female,Group E,34,2018-11-02,North,2023-09-01
Jacob Moore,278730,IT,Counselling psychologist,Part-time,Temporary,24,89.8912986,2013-05-05,Manager 11,16,Involuntary,Female,Group c,54,2018-06-03,North,2023-09-01
Grant Daniels,722592,Legal,Air broker,Contractor,Permanent,32,30.7701697,2013-05-11,Manager 36,32,Involuntary,Female,Group D,51,2017-09-16,Midwest,2023-09-01
Jonathan Hernandez,918170,Legal,Commercial horticulturist,Contractor,Permanent,32,40.84999803,2013-05-11,Manager 18,25,Involuntary,Female,Group A,27,2015-04-18,East,2023-09-01
Douglas Butler PhD,720768,Accounting,Furniture conservator/restorer,Contractor,Permanent,32,49.84468502,2013-05-13,Manager 21,45,Voluntary,Male,Group B,31,2022-02-21,South,2023-09-01
Jose Brewer,932431,Marketing,Surgeon,Full-time,Permanent,40,89.80693834,2013-05-13,Manager 2,40,Involuntary,Female,Group A,58,2021-11-29,East,2023-09-01
Ann Saunders,765167,IT,Charity officer,Full-time,Permanent,40,50.18918467,2013-05-16,Manager 29,46,Involuntary,Female,Group D,31,2021-06-02,South,2023-09-01
Edward Avila,824910,HR,Electrical engineer,Contractor,Permanent,40,23.39291327,2013-05-18,Manager 30,20,Voluntary,Male,Group D,63,2018-06-14,South,2023-09-01
Theresa Simpson,740174,Business Management,Clinical psychologist,Full-time,Permanent,40,46.77862672,2013-05-19,Manager 11,16,Involuntary,Female,Group A,44,2022-04-04,Midwest,2023-09-01
Jeffery Gonzales,309474,Production,Artist,Full-time,Temporary,40,69.68286363,2013-05-20,Manager 8,17,,Male,Group A,39,,North,2023-09-01
Troy Atkinson,637423,Sales,Animator,Full-time,Permanent,40,70.68016862,2013-05-22,Manager 19,30,Involuntary,Female,Group E,33,2017-07-06,South,2023-09-01
Hunter Alvarado,476435,Tech,"Chemist, analytical",Full-time,Temporary,40,69.34749763,2013-05-23,Manager 30,20,Voluntary,Female,Group D,38,2016-07-29,North,2023-09-01
Darrell Norris,578236,HR,"Psychologist, educational",Contractor,Permanent,32,31.70590272,2013-05-24,Manager 19,30,Involuntary,Female,Group B,37,2015-02-10,South,2023-09-01
William Smith,104795,Business Management,Community education officer,Full-time,Permanent,40,88.61041642,2013-05-26,Manager 27,1,Voluntary,Female,Group c,54,2015-01-30,Central,2023-09-01
James Morton,710933,HR,Radio broadcast assistant,Contractor,Temporary,24,72.04732857,2013-05-27,Manager 48,42,Involuntary,Male,Group E,23,2014-06-16,Midwest,2023-09-01
Abigail Hutchinson,459305,IT,Mining engineer,Full-time,Permanent,40,46.13895808,2013-05-28,Manager 17,4,Voluntary,Female,Group E,28,2017-06-02,South,2023-09-01
Marcus Woods,353219,Business Management,Conference centre manager,Part-time,Temporary,32,41.05918968,2013-05-30,Manager 22,47,,Female,Group D,57,,South,2023-09-01
Mary Perry,375067,Logistics,Dramatherapist,Full-time,Permanent,40,73.34197202,2013-05-30,Manager 47,3,Involuntary,Male,Group A,30,2022-10-06,South,2023-09-01
Samantha Johnson,439612,Business Management,Dealer,Full-time,Temporary,40,83.50555394,2013-05-30,Manager 2,40,Voluntary,Male,Group E,31,2019-11-01,South,2023-09-01
Bonnie Ballard,642708,IT,Public relations account executive,Full-time,Permanent,40,68.01660176,2013-05-30,Manager 11,16,Voluntary,Male,Group E,30,2019-07-26,East,2023-09-01
Carol Shaw,229356,HR,"Accountant, chartered management",Full-time,Permanent,40,57.88378769,2013-05-31,Manager 41,34,Involuntary,Female,Group c,22,2014-04-07,North,2023-09-01
Sean Mcmillan,296184,Legal,Clinical cytogeneticist,Contractor,Temporary,24,76.79839557,2013-05-31,Manager 39,35,Voluntary,Female,Group A,46,2022-12-29,Midwest,2023-09-01
Ronald Robertson,355424,Accounting,Regulatory affairs officer,Part-time,Permanent,24,51.28343035,2013-06-01,Manager 10,41,Voluntary,Female,Group B,52,2022-08-31,Midwest,2023-09-01
Danielle Barrett,400344,Business Management,Neurosurgeon,Full-time,Temporary,40,35.67567718,2013-06-01,Manager 34,10,Voluntary,Female,Group E,49,2022-03-17,Midwest,2023-09-01
Eric Hunt,471074,Sales,Information systems manager,Full-time,Temporary,40,70.815247,2013-06-01,Manager 1,19,Involuntary,Female,Group B,32,2019-06-27,Northwest,2023-09-01
Samantha Schultz,694662,Legal,"Administrator, local government",Full-time,Permanent,40,44.50056282,2013-06-01,Manager 41,34,Involuntary,Male,Group E,57,2022-12-21,North,2023-09-01
Patrick Burke,810047,Legal,Haematologist,Contractor,Permanent,24,46.7198384,2013-06-02,Manager 42,15,Voluntary,Male,Group E,38,2016-04-02,South,2023-09-01
Victor Robertson,391990,Marketing,Landscape architect,Contractor,Temporary,32,50.50646014,2013-06-07,Manager 4,5,Involuntary,Male,Group B,64,2022-09-20,North,2023-09-01
Laura Contreras,414369,Logistics,Geoscientist,Contractor,Temporary,32,87.23069011,2013-06-08,Manager 7,31,Involuntary,Female,Group A,49,2022-01-02,East,2023-09-01
George King,601093,Marketing,Mining engineer,Part-time,Temporary,24,76.29544701,2013-06-08,Manager 20,23,Involuntary,Male,Group A,26,2022-12-05,North,2023-09-01
Ronald Jennings,298696,HR,"Scientist, research (physical sciences)",Full-time,Temporary,40,72.13844017,2013-06-10,Manager 31,2,Involuntary,Female,Group A,60,2015-08-11,South,2023-09-01
Derrick Underwood,735475,Logistics,Animator,Full-time,Temporary,40,67.07742185,2013-06-11,Manager 13,37,Voluntary,Male,Group A,64,2022-04-02,North,2023-09-01
Hannah Williams,384711,HR,Legal secretary,Full-time,Temporary,40,41.9477251,2013-06-17,Manager 17,4,Voluntary,Female,Group c,37,2022-06-17,Midwest,2023-09-01
Joshua Church,133258,Production,"Editor, film/video",Part-time,Permanent,24,74.45475436,2013-06-18,Manager 46,11,,Female,Group E,47,,South,2023-09-01
Ashley Compton,163746,Legal,Colour technologist,Full-time,Temporary,40,39.15051508,2013-06-18,Manager 46,11,,Male,Group E,66,,South,2023-09-01
Cassandra Walls,276392,Sales,"Engineer, control and instrumentation",Contractor,Temporary,32,65.27759563,2013-06-18,Manager 41,34,Involuntary,Female,Group B,47,2016-10-13,Central,2023-09-01
Shannon Dixon,569135,Tech,"Buyer, retail",Full-time,Temporary,40,68.25306019,2013-06-20,Manager 12,24,Voluntary,Female,Group c,49,2016-01-29,Midwest,2023-09-01
Margaret West,961135,Accounting,"Engineer, materials",Contractor,Permanent,40,59.03524845,2013-06-21,Manager 47,3,Involuntary,Male,Group c,23,2018-02-24,Northwest,2023-09-01
Michael Sharp,970774,Sales,Recruitment consultant,Part-time,Temporary,24,83.45525481,2013-06-21,Manager 3,14,Involuntary,Male,Group c,21,2014-09-14,East,2023-09-01
Matthew Lawson,187075,Marketing,Water quality scientist,Part-time,Permanent,32,78.38663291,2013-06-22,Manager 26,44,Involuntary,Male,Group D,38,2014-08-30,South,2023-09-01
Maria Francis,502878,Marketing,Theatre director,Full-time,Permanent,40,24.06131187,2013-06-23,Manager 24,22,Voluntary,Male,Group B,34,2022-09-27,Central,2023-09-01
Gerald Holloway,116396,Production,Heritage manager,Full-time,Permanent,40,62.31566611,2013-06-24,Manager 18,25,Involuntary,Male,Group B,43,2022-10-20,Midwest,2023-09-01
William Thompson,616581,IT,"Horticulturist, commercial",Part-time,Temporary,32,83.1291639,2013-06-24,Manager 43,39,Involuntary,Male,Group E,22,2014-07-01,Northwest,2023-09-01
William Scott,678701,Production,Theatre director,Full-time,Temporary,40,39.88751924,2013-06-25,Manager 18,25,Voluntary,Male,Group A,23,2021-01-23,South,2023-09-01
Brittany Mills MD,580709,Tech,Company secretary,Full-time,Temporary,40,76.79410213,2013-06-26,Manager 18,25,Voluntary,Female,Group B,62,2019-05-01,East,2023-09-01
Jimmy Allen,848187,Business Management,"Engineer, water",Part-time,Permanent,24,50.50748408,2013-06-27,Manager 45,12,Voluntary,Male,Group A,31,2019-02-20,Midwest,2023-09-01
Dylan Williams,288094,Marketing,Air broker,Part-time,Temporary,32,85.53627658,2013-06-28,Manager 10,41,Involuntary,Male,Group D,41,2019-03-30,Northwest,2023-09-01
Zachary Davis,269241,HR,"Scientist, marine",Full-time,Permanent,40,25.95050011,2013-06-29,Manager 34,10,Voluntary,Male,Group A,27,2016-02-24,Central,2023-09-01
Jack Thompson,347986,Legal,Public affairs consultant,Part-time,Temporary,32,33.27512431,2013-07-02,Manager 44,21,,Male,Group A,50,,Northwest,2023-09-01
Tracy Long,707348,Marketing,Herpetologist,Part-time,Temporary,32,72.57393985,2013-07-02,Manager 2,40,Involuntary,Female,Group c,27,2019-05-13,Central,2023-09-01
David Morris,779506,IT,Careers information officer,Contractor,Permanent,40,58.67692522,2013-07-02,Manager 4,5,Involuntary,Female,Group E,66,2020-12-18,Northwest,2023-09-01
Amy Sandoval,102196,Marketing,Police officer,Full-time,Permanent,40,30.10222285,2013-07-04,Manager 46,11,Involuntary,Female,Group A,43,2022-07-25,South,2023-09-01
Eric Hawkins,414025,HR,IT sales professional,Contractor,Temporary,32,63.65155234,2013-07-04,Manager 27,1,Involuntary,Male,Group B,28,2019-04-24,Northwest,2023-09-01
Mrs. Heather Walsh MD,903023,Production,"Physicist, medical",Full-time,Permanent,40,88.02978057,2013-07-05,Manager 2,40,Involuntary,Male,Group E,23,2016-08-27,South,2023-09-01
Christopher Mullins,865595,Logistics,Dramatherapist,Contractor,Permanent,40,24.50423233,2013-07-09,Manager 27,1,Involuntary,Male,Group B,29,2016-07-26,Central,2023-09-01
Tanner Young,294023,HR,Logistics and distribution manager,Part-time,Temporary,24,85.40891468,2013-07-12,Manager 43,39,Involuntary,Female,Group E,21,2016-05-15,Northwest,2023-09-01
Carolyn Jones,417294,Production,Chief Strategy Officer,Contractor,Temporary,32,60.1947503,2013-07-12,Manager 28,6,Voluntary,Male,Group c,28,2019-12-14,North,2023-09-01
Nicole Reid,121216,HR,"Journalist, broadcasting",Full-time,Temporary,40,69.74561375,2013-07-15,Manager 18,25,Voluntary,Female,Group A,31,2023-02-17,South,2023-09-01
Kristina Peterson,111466,HR,Surgeon,Contractor,Temporary,24,62.7516844,2013-07-16,Manager 22,47,Voluntary,Female,Group c,42,2017-02-09,Midwest,2023-09-01
Nicholas Webster,608933,Sales,Personnel officer,Part-time,Temporary,24,50.69339209,2013-07-16,Manager 17,4,Involuntary,Female,Group c,61,2016-06-06,Northwest,2023-09-01
Patrick Thomas,766376,Business Management,Art gallery manager,Part-time,Permanent,32,85.35829074,2013-07-16,Manager 25,26,Voluntary,Female,Group c,42,2022-04-11,Northwest,2023-09-01
Desiree Harmon,273672,Marketing,Clothing/textile technologist,Full-time,Permanent,40,27.23907535,2013-07-17,Manager 3,14,Voluntary,Female,Group B,30,2021-07-29,East,2023-09-01
Amy Ross DDS,702715,Logistics,Freight forwarder,Contractor,Temporary,32,57.03427935,2013-07-18,Manager 1,19,Voluntary,Female,Group A,39,2019-08-03,Central,2023-09-01
Mary Barron,108118,Accounting,"Surveyor, building control",Full-time,Permanent,40,85.28916312,2013-07-19,Manager 43,39,Voluntary,Male,Group B,44,2016-02-03,Northwest,2023-09-01
Peter White,800463,Accounting,"Biochemist, clinical",Full-time,Temporary,40,89.49173003,2013-07-21,Manager 23,27,Voluntary,Male,Group E,43,2021-04-08,South,2023-09-01
Thomas Rios,852434,Logistics,Architectural technologist,Full-time,Permanent,40,50.37595308,2013-07-21,Manager 40,18,Involuntary,Male,Group D,42,2015-03-12,North,2023-09-01
